itemname,key,delay,value_type,description,application,discovery_rule,template,units
Device: Temperature status,sensor.temp.status[extremeOverTemperatureAlarm.0],3m,3,"MIB: EXTREME-SYSTEM-MIB
Temperature status of testpoint: Device",Temperature,,Template Net Extreme EXOS SNMPv2,
Device: Temperature,sensor.temp.value[extremeCurrentTemperature.0],3m,0,"MIB: EXTREME-SYSTEM-MIB
Temperature readings of testpoint: Device
Reference: https://gtacknowledge.extremenetworks.com/articles/Q_A/Does-EXOS-support-temperature-polling-via-SNMP-on-all-nodes-in-a-stack",Temperature,,Template Net Extreme EXOS SNMPv2,°C
CPU utilization,system.cpu.util[extremeCpuMonitorTotalUtilization.0],3m,0,"MIB: EXTREME-SOFTWARE-MONITOR-MIB
Total CPU utlization (percentage) as of last sampling.",CPU,,Template Net Extreme EXOS SNMPv2,%
Firmware version,system.hw.firmware,1h,1,MIB: ENTITY-MIB,Inventory,,Template Net Extreme EXOS SNMPv2,
Hardware model name,system.hw.model,1h,1,MIB: ENTITY-MIB,Inventory,,Template Net Extreme EXOS SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,MIB: ENTITY-MIB,Inventory,,Template Net Extreme EXOS SNMPv2,
Hardware version(revision),system.hw.version,1h,1,MIB: ENTITY-MIB,Inventory,,Template Net Extreme EXOS SNMPv2,
Operating system,system.sw.os,1h,1,"MIB: EXTREME-SYSTEM-MIB
The software revision of the primary image stored in this device.
This string will have a zero length if the revision is unknown, invalid or not present.
This will also be reported in RMON2 probeSoftwareRev if this is the software image currently running in the device.",Inventory,,Template Net Extreme EXOS SNMPv2,
CPU utilization,system.cpu.util[hpSwitchCpuStat.0],3m,0,"MIB: STATISTICS-MIB
The CPU utilization in percent(%).
Reference: http://h20564.www2.hpe.com/hpsc/doc/public/display?docId=emr_na-c02597344&sp4ts.oid=51079",CPU,,Template Net HP Enterprise Switch SNMPv2,%
Firmware version,system.hw.firmware,1h,1,"MIB: NETSWITCH-MIB
Contains the operating code version number (also known as software or firmware).
For example, a software version such as A.08.01 is described as follows:
A    the function set available in your router
08   the common release number
01   updates to the current common release",Inventory,,Template Net HP Enterprise Switch SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,MIB: SEMI-MIB,Inventory,,Template Net HP Enterprise Switch SNMPv2,
Firmware version,system.hw.firmware,1h,1,MIB: ICS-CHASSIS-MIB,Inventory,,Template Net Intel_Qlogic Infiniband SNMPv2,
Hardware model name,system.hw.model,1h,1,MIB: ICS-CHASSIS-MIB,Inventory,,Template Net Intel_Qlogic Infiniband SNMPv2,
Hardware model name,system.hw.model,1h,1,"MIB: JUNIPER-MIB
The name, model, or detailed description of the box,indicating which product the box is about, for example 'M40'.",Inventory,,Template Net Juniper SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,"MIB: JUNIPER-MIB
The serial number of this subject, blank if unknown or unavailable.",Inventory,,Template Net Juniper SNMPv2,
Overall system health status,system.status[jnxRedAlarmState.0],30s,3,"MIB: JUNIPER-ALARM-MIB
The red alarm indication on the craft interface panel.
The red alarm is on when there is some system
failure or power supply failure or the system
is experiencing a hardware malfunction or some
threshold is being exceeded.

This red alarm state could be turned off by the
ACO/LT (Alarm Cut Off / Lamp Test) button on the
front panel module.",Status,,Template Net Juniper SNMPv2,
Operating system,system.sw.os,1h,1,MIB: SNMPv2-MIB,Inventory,,Template Net Juniper SNMPv2,
Device: Temperature,sensor.temp.value[mtxrHlTemperature],3m,0,"MIB: MIKROTIK-MIB
(mtxrHlTemperature) Device temperature in Celsius (degrees C). Might be missing in entry models (RB750, RB450G..)
Reference: http://wiki.mikrotik.com/wiki/Manual:SNMP",Temperature,,Template Net Mikrotik SNMPv2,°C
Firmware version,system.hw.firmware,1h,1,"MIB: MIKROTIK-MIB
Current firmware version",Inventory,,Template Net Mikrotik SNMPv2,
Hardware model name,system.hw.model,1h,1,,Inventory,,Template Net Mikrotik SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,"MIB: MIKROTIK-MIB
RouterBOARD serial number",Inventory,,Template Net Mikrotik SNMPv2,
Operating system,system.sw.os,1h,1,"MIB: MIKROTIK-MIB
Software version",Inventory,,Template Net Mikrotik SNMPv2,
Memory utilization,vm.memory.pused[memoryUsedPercentage.Memory],3m,0,Memory utilization in %,Memory,,Template Net Mikrotik SNMPv2,%
Total memory,vm.memory.total[hrStorageSize.Memory],3m,3,"MIB: HOST-RESOURCES-MIB
The size of the storage represented by this entry, in
units of hrStorageAllocationUnits. This object is
writable to allow remote configuration of the size of
the storage area in those cases where such an
operation makes sense and is possible on the
underlying system. For example, the amount of main
memory allocated to a buffer pool might be modified or
the amount of disk space allocated to virtual memory
might be modified.",Memory,,Template Net Mikrotik SNMPv2,B
Used memory,vm.memory.used[hrStorageUsed.Memory],3m,3,"MIB: HOST-RESOURCES-MIB
The amount of the storage represented by this entry that is allocated, in units of hrStorageAllocationUnits.",Memory,,Template Net Mikrotik SNMPv2,B
CPU utilization,system.cpu.util[agentSwitchCpuProcessTotalUtilization.0],3m,0,"MIB: FASTPATH-SWITCHING-MIB
CPU utilization in %",CPU,,Template Net Netgear Fastpath SNMPv2,%
Hardware model name,system.hw.model,1h,1,MIB: FASTPATH-SWITCHING-MIB,Inventory,,Template Net Netgear Fastpath SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,"MIB: FASTPATH-SWITCHING-MIB
Serial number of the switch",Inventory,,Template Net Netgear Fastpath SNMPv2,
Operating system,system.sw.os,1h,1,"MIB: FASTPATH-SWITCHING-MIB
Operating System running on this unit",Inventory,,Template Net Netgear Fastpath SNMPv2,
Available memory,vm.memory.free[agentSwitchCpuProcessMemFree.0],3m,3,"MIB: FASTPATH-SWITCHING-MIB
The total memory freed for utilization.",Memory,,Template Net Netgear Fastpath SNMPv2,B
Memory utilization,vm.memory.pused[memoryUsedPercentage.0],3m,0,Memory utilization in %,Memory,,Template Net Netgear Fastpath SNMPv2,%
Total memory,vm.memory.total[agentSwitchCpuProcessMemAvailable.0],3m,3,"MIB: FASTPATH-SWITCHING-MIB
The total Memory allocated for the tasks",Memory,,Template Net Netgear Fastpath SNMPv2,B
CPU utilization,system.cpu.util[switchCpuUsage.0],3m,0,"MIB: QTECH-MIB
CPU utilization in %",CPU,,Template Net QTech QSW SNMPv2,%
Firmware version,system.hw.firmware,1h,1,MIB: ENTITY-MIB,Inventory,,Template Net QTech QSW SNMPv2,
Hardware model name,system.hw.model,1h,1,MIB: ENTITY-MIB,Inventory,,Template Net QTech QSW SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,MIB: ENTITY-MIB,Inventory,,Template Net QTech QSW SNMPv2,
Hardware version(revision),system.hw.version,1h,1,MIB: ENTITY-MIB,Inventory,,Template Net QTech QSW SNMPv2,
Operating system,system.sw.os,1h,1,MIB: QTECH-MIB,Inventory,,Template Net QTech QSW SNMPv2,
Memory utilization,vm.memory.pused[vm.memory.pused.0],3m,0,Memory utilization in %,Memory,,Template Net QTech QSW SNMPv2,%
Total memory,vm.memory.total[switchMemorySize.0],3m,3,"MIB: QTECH-MIB
Total memory in Bytes",Memory,,Template Net QTech QSW SNMPv2,B
Used memory,vm.memory.used[switchMemoryBusy.0],3m,3,"MIB: QTECH-MIB
Used memory in Bytes",Memory,,Template Net QTech QSW SNMPv2,B
Firmware version,system.hw.firmware,1h,1,"MIB: TPLINK-SYSINFO-MIB
The software version of the product.",Inventory,,Template Net TP-LINK SNMPv2,
Hardware model name,system.hw.model,1h,1,"MIB: TPLINK-SYSINFO-MIB
The hardware version of the product.",Inventory,,Template Net TP-LINK SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,"MIB: TPLINK-SYSINFO-MIB
The Serial number of the product.",Inventory,,Template Net TP-LINK SNMPv2,
Hardware version(revision),system.hw.version,1h,1,"MIB: TPLINK-SYSINFO-MIB
The hardware version of the product.",Inventory,,Template Net TP-LINK SNMPv2,
CPU utilization,system.cpu.util[loadValue.2],3m,0,"MIB: FROGFOOT-RESOURCES-MIB
5 minute load average of processor load.",CPU,,Template Net Ubiquiti AirOS SNMPv1,%
Firmware version,system.hw.firmware,1h,1,"MIB: IEEE802dot11-MIB
Printable string used to identify the manufacturer's product version of the resource. Maximum string length is 128 octets.",Inventory,,Template Net Ubiquiti AirOS SNMPv1,
Hardware model name,system.hw.model,1h,1,"MIB: IEEE802dot11-MIB
A printable string used to identify the manufacturer's product name of the resource. Maximum string length is 128 octets.",Inventory,,Template Net Ubiquiti AirOS SNMPv1,
Available memory,vm.memory.free[memFree],3m,3,MIB: FROGFOOT-RESOURCES-MIB,Memory,,Template Net Ubiquiti AirOS SNMPv1,B
Memory utilization,vm.memory.pused[memoryUsedPercentage],3m,0,Memory utilization in %,Memory,,Template Net Ubiquiti AirOS SNMPv1,%
Total memory,vm.memory.total[memTotal],3m,3,"MIB: FROGFOOT-RESOURCES-MIB
Total memory in Bytes",Memory,,Template Net Ubiquiti AirOS SNMPv1,B
Total number of CPUs in cluster,db.cpu.total.query,60,3,,Capacity data,,Template OpenStack Cluster,
Number of used CPUs in cluster,db.cpu.used.query,60,3,,Capacity data,,Template OpenStack Cluster,
Number of instances,db.instance.count.query,60,3,,Capacity data,,Template OpenStack Cluster,
Number of instances in error state,db.instance.error.query,60,3,,Capacity data,,Template OpenStack Cluster,
Total amount of RAM in cluster,db.ram.total.query,60,3,,Capacity data,,Template OpenStack Cluster,
Used RAM in cluster,db.ram.used.query,60,3,,Capacity data,,Template OpenStack Cluster,
Number of Cinder services in offline state,db.services.offline.cinder.query,60,3,,Capacity data,,Template OpenStack Cluster,
Number of Neutron services in offline state,db.services.offline.neutron.query,60,3,,Capacity data,,Template OpenStack Cluster,
Number of Nova services in offline state,db.services.offline.nova.query,60,3,,Capacity data,,Template OpenStack Cluster,
Keystone token count,db.token.count.query,60,3,,Capacity data,,Template OpenStack Cluster,
Number of volumes,db.volume.count.query,60s,3,,Capacity data,,Template OpenStack Cluster,
Number of volumes in error state,db.volume.error.query,60s,3,,Capacity data,,Template OpenStack Cluster,
Gigabytes of volumes,db.volume.gigabytes.query,60s,3,,Capacity data,,Template OpenStack Cluster,G
Aggregated Controllers 1 minutes load,"grpavg[""Controllers"", ""system.cpu.load[percpu,avg1]"", last, 0]",60,0,,Capacity data,,Template OpenStack Cluster,
Aggregated Controllers 5 minutes load,"grpavg[""Controllers"", ""system.cpu.load[percpu,avg5]"", last, 0]",60,0,,Capacity data,,Template OpenStack Cluster,
Aggregated Controllers 15 minutes load,"grpavg[""Controllers"", ""system.cpu.load[percpu,avg15]"", last, 0]",60,0,,Capacity data,,Template OpenStack Cluster,
Cinder VIP API test succeeded,vip.cinder.api.status,60,3,,Controllers,,Template OpenStack Cluster,
Glance VIP API test succeeded,vip.glance.api.status,60,3,,Controllers,,Template OpenStack Cluster,
Keystone VIP API test succeeded,vip.keystone.api.status,60,3,,Controllers,,Template OpenStack Cluster,
Keystone service VIP API test succeeded,vip.keystone.service.api.status,60,3,,Controllers,,Template OpenStack Cluster,
Neutron VIP API test succeeded,vip.neutron.api.status,60,3,,Controllers,,Template OpenStack Cluster,
Nova VIP API test succeeded,vip.nova.api.status,60,3,,Controllers,,Template OpenStack Cluster,
物理内存可用率,Available_memory,2h,3,,Memory,,Template OpenStack OS Linux,%
ops_mem_total,check_mem[mem_total],30s,3,,mem_info,,Template OpenStack OS Linux,G
ops_mem_used,check_mem[mem_used],30s,3,,mem_info,,Template OpenStack OS Linux,G
Maximum number of opened files,kernel.maxfiles,3600,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OpenStack OS Linux,
Maximum number of processes,kernel.maxproc,3600,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OpenStack OS Linux,
DNS lookup,"net.dns[,zabbix.com,,2,1]",30,3,,DNS,,Template OpenStack OS Linux,
network in,"net.if.in[vlan21,bytes]",30s,3,,NETWORK,,Template OpenStack OS Linux,bps
network out,"net.if.out[vlan21,bytes]",30s,3,,NETWORK,,Template OpenStack OS Linux,bps
SSH Server is listening on port,"net.tcp.service[ssh,,10022]",30,3,,Core Services,,Template OpenStack OS Linux,
Number of running processes,"proc.num[,,run]",60,3,Number of processes in running state.,Processes,,Template OpenStack OS Linux,
NTP Server process is running,"proc.num[ntpd,,,]",30,3,,Core Services,,Template OpenStack OS Linux,
RsyslogD Server process is running,"proc.num[rsyslogd,,,]",30,3,,Core Services,,Template OpenStack OS Linux,
SSH Server process is running,"proc.num[sshd,,,]",30,3,,Core Services,,Template OpenStack OS Linux,
Number of processes,proc.num[],60,3,Total number of processes in any state.,Processes,,Template OpenStack OS Linux,
/proc/vmstat compact_stall,proc.vmstat[compact_stall],30,3,,Proc,,Template OpenStack OS Linux,
Host boot time,system.boottime,600,3,,General,,Template OpenStack OS Linux,unixtime
Interrupts per second,system.cpu.intr,60,3,,CPU,,Template OpenStack OS Linux,ips
Processor load (1 min average per core),"system.cpu.load[percpu,avg1]",60,0,The processor load is calculates as system CPU load divided by number of CPU cores.,CPU,,Template OpenStack OS Linux,
Processor load (5 min average per core),"system.cpu.load[percpu,avg5]",60,0,The processor load is calculates as system CPU load divided by number of CPU cores.,CPU,,Template OpenStack OS Linux,
Processor load (15 min average per core),"system.cpu.load[percpu,avg15]",60,0,The processor load is calculates as system CPU load divided by number of CPU cores.,CPU,,Template OpenStack OS Linux,
Context switches per second,system.cpu.switches,60,3,,CPU,,Template OpenStack OS Linux,sps
CPU idle time,"system.cpu.util[,idle]",60,0,The time the CPU has spent doing nothing.,CPU,,Template OpenStack OS Linux,%
CPU interrupt time,"system.cpu.util[,interrupt]",60,0,The amount of time the CPU has been servicing hardware interrupts.,CPU,,Template OpenStack OS Linux,%
CPU iowait time,"system.cpu.util[,iowait]",60,0,Amount of time the CPU has been waiting for I/O to complete.,CPU,,Template OpenStack OS Linux,%
CPU nice time,"system.cpu.util[,nice]",60,0,The time the CPU has spent running users' process that have been niced.,CPU,,Template OpenStack OS Linux,%
CPU softirq time,"system.cpu.util[,softirq]",60,0,The amount of time the CPU has been servicing software interrupts.,CPU,,Template OpenStack OS Linux,%
CPU steal time,"system.cpu.util[,steal]",60,0,The amount of CPU 'stolen' from this virtual machine by the hypervisor for other tasks (such as running another virtual machine).,CPU,,Template OpenStack OS Linux,%
